origin,h_week,n,wmape,bias,wmape_ly,n_ly
2015-01-01,1,6406,0.19177627739019681,0.17514132232956936,0.10094219073680423,6100
2015-01-01,2,6707,0.2003591522759407,0.19519787064131539,0.25040254861456274,6689
2015-01-01,3,6703,0.17812024176587316,0.16993655682618802,0.35094535482495304,6671
2015-01-01,4,6701,0.18051741007294608,0.16720212234135098,0.27477610194744334,6685
2015-01-01,5,6700,0.18405484118187151,0.16985655239891262,0.12489618042355899,6688
2015-01-01,6,6706,0.1500008030504971,0.1278775269718784,0.0970261954320687,6690
2015-02-01,1,6701,0.11951712233439878,0.10113664970033519,0.10889034251795644,6689
2015-02-01,2,6707,0.08513018159134579,0.03299600460018121,0.10084930159666772,6692
2015-02-01,3,6662,0.08773955867055522,0.03260614764353562,0.11278609438521887,6657
2015-02-01,4,6697,0.08876264062169295,-0.04496575276958256,0.10329562548757121,6691
2015-02-01,5,6698,0.07561554458784772,0.011564896157704245,0.11878652465156193,6663
2015-02-01,6,6705,0.07699566661940448,-0.04801935050408847,0.10411220090404051,6681
2015-03-01,1,6698,0.07107882332351034,-0.00651640269592586,0.11878652465156193,6663
2015-03-01,2,6705,0.07335853729486527,-0.03875725678169158,0.10411220090404051,6681
2015-03-01,3,6709,0.07061610935548782,-0.041628424817820975,0.09813660949584478,6682
2015-03-01,4,6718,0.08072845727038075,-0.050509263126078445,0.10182494494606725,6686
2015-03-01,5,5624,0.1978341731021242,-0.18467145123439296,0.22890107175982727,5616
2015-03-01,6,5636,0.11071897503796309,-0.053766272003088575,0.12497419706589555,5633
2015-04-01,1,4541,0.2053533396891344,-0.19955929258565017,0.23878819460353445,4535
2015-04-01,2,6717,0.13840453020135274,0.10861771391870023,0.1372544390615616,6716
2015-04-01,3,6722,0.17061138744884313,0.15777163612402811,0.2085168720229921,4539
2015-04-01,4,6721,0.0697329849083699,0.019152168214315677,0.1045541220642135,6715
2015-04-01,5,5623,0.09049568635602219,-0.0208020738019079,0.11794495355025356,4526
2015-04-01,6,6716,0.09629378870435486,-0.05215058502415874,0.11888579095195702,6710
2015-05-01,1,6716,0.11963758771902896,0.07264212168656918,0.10461841173543902,6712
2015-05-01,2,5634,0.1278667067254462,-0.08789372944465285,0.1669056115991475,5629
2015-05-01,3,6722,0.06351323628656867,-0.009990158593041625,0.10077110610589032,6712
2015-05-01,4,5640,0.10426713641995332,-0.04894403770897353,0.18045431754310157,4548
2015-05-01,5,6038,0.08647077411553405,-0.019250918411119037,0.10849365197357029,6021
2015-05-01,6,6722,0.08574558634433797,0.04725909094458414,0.11278055382387982,5630
2015-06-01,1,6039,0.09290698439636536,-0.011119945932147293,0.11287694543534156,4944
2015-06-01,2,6719,0.09896398404905503,0.051815118265308976,0.10709919783761918,6707
2015-06-01,3,6716,0.0830824055975363,0.05282379581039001,0.11187361603292043,6020
2015-06-01,4,6719,0.07829248062842672,-0.015362135438465208,0.11314861314386258,6698
2015-06-01,5,6719,0.12407492924997975,0.07004384075260502,0.125491954340218,5621
2015-06-01,6,6714,0.0893774190964597,-0.014805736967343098,0.11246331426534734,5612
